Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
Chăm sóc gia đình,1011685001,Lipton Ice Tea Xoài 16(2x16x14g+BTTL),Bộ,87000,Uniliver
Chăm sóc gia đình,101168501,Lipton Ice Tea Đào 16(2x16x14g+BTTL),Bộ,87000,Uniliver
Chăm sóc gia đình,101168502,Lipton Nhãn Vàng Envelope 100gói,Hộp,207000,Uniliver
Chăm sóc gia đình,101168505,Lipton Ba Tuoc 18x25x2g,Hộp,68000,Uniliver
Chăm sóc gia đình,101186590,Lipton Nhãn Vàng Hexagon 18x30sx2g,Hộp,57000,Uniliver
Chăm sóc gia đình,A100363569,Nước tẩy quần áo Axo Hương tươi mát 400Ml,Chai,27000,Green Cross
Chăm sóc gia đình,A100363570,Nước tẩy quần áo Axo Hương hoa Hương hoa hồng 400Ml,Chai,27000,Green Cross
Chăm sóc gia đình,A100363571,Nước tẩy quần áo Axo Hương mùa xuân 400ML,Chai,27000,Green Cross
Chăm sóc gia đình,A100363572,Nước tẩy quần áo Axo Hương tươi mát 800Ml,Chai,50000,Green Cross
Chăm sóc gia đình,A100363573,Nước tẩy quần áo Axo Hương hoa hồng 800ML,Chai,50000,Green Cross
Chăm sóc gia đình,A100363574,Nước tẩy quần áo Axo Hương mùa xuân 800Ml,Chai,50000,Green Cross
Chăm sóc gia đình,A100508716,Nước tẩy quần áo Axo Hương Lavender 400Ml,Chai,27000,Green Cross
Chăm sóc gia đình,A100508717,Nước tẩy quần áo Axo Hương Lavender 800Ml,Chai,50000,Green Cross
Chăm sóc gia đình,A100508718,Nước tẩy quần áo AXO Trắng Thanh Khiết 800ml,Chai,54000,Green Cross
Chăm sóc gia đình,A100569931,Nước tẩy quần áo Axo Hương hoa hồng 1.8L,Chai,103000,Green Cross
Chăm sóc gia đình,B101034016,Bao cao su One True Fit 3pcs-Xanh lá,Hộp,36000,DKSH
Chăm sóc gia đình,B101034017,Bao cao su One Super Sensitive 3pcs-Xanh dương,Hộp,52000,DKSH
Chăm sóc gia đình,B101034019,Bao cao su One Super Studs 3pcs-Cam,Hộp,58000,DKSH
Chăm sóc gia đình,B101034060,Bao cao su One Mixed Pleasure 3pcs-Tím,Hộp,60000,DKSH
Tiện ích và sức khỏe,D100794127,Devondale Sữa bột 1Kg x 8 gói ,Gói,279000,Devondale
Tiện ích và sức khỏe,D100965027,Devondale FullCream Xanh 6x200ml,Thùng,318000,Devondale
Tiện ích và sức khỏe,D100965028,Devondale FullCream Xanh 1Lx10,Thùng,460000,Devondale
Tiện ích và sức khỏe,D100965029,Devondale Fullcream 2L x 6 hộp,Hộp,81000,Devondale
Tiện ích và sức khỏe,D100965030,Devondale Fullcream Dâu 6x200ml,Thùng,347000,Devondale
Chăm sóc gia đình,G100363575,Green Cross RT Táo 100ML,Chai,26000,Green Cross
Chăm sóc gia đình,G100363576,Green Cross RT Tự nhiên 100ML,Chai,26000,Green Cross
Chăm sóc gia đình,G100363577,Green Cross RT Trà Xanh 100ML,Chai,26000,Green Cross
Chăm sóc gia đình,G100363578,Green Cross RT Dứa Táo 250ML,Chai,44000,Green Cross
Chăm sóc gia đình,G100363579,Green Cross RT Tự Nhiên 250ML,Chai,44000,Green Cross
Chăm sóc gia đình,G100363580,Green Cross RT Trà Xanh 250ML,Chai,44000,Green Cross
Chăm sóc gia đình,G100395687,Green Cross Xịt Dứa Táo 70ML,Chai,32000,Green Cross
Chăm sóc gia đình,G100395688,Green Cross Xịt Tự nhiên 70ML,Chai,32000,Green Cross
Chăm sóc gia đình,G100395689,Green Cross Xịt Trà Xanh 70ML,Chai,32000,Green Cross
Chăm sóc gia đình,G100395700,Green Cross GEL Dứa Táo 100ML,Chai,39000,Green Cross
Chăm sóc gia đình,G100395701,Green Cross GEL Tự nhiên 100ML,Chai,39000,Green Cross
Chăm sóc gia đình,G100395702,Green Cross GEL Trà xanh 100ML,Chai,39000,Green Cross
Chăm sóc gia đình,G100472642,Green Cross Xịt A2 Xanh Fresh 500ML,Chai,64000,Green Cross
Chăm sóc gia đình,G100533313,Green Cross Xịt A2 Cam Summer 500ML,Chai,64000,Green Cross
Chăm sóc gia đình,G100760039,Gatsby Kem Dưỡng Tóc 125g,Hũ,27000,Gatsby
Chăm sóc gia đình,G100760110,Gatsby Gel Mềm Tím 170g,Tuýp,39000,Gatsby
Chăm sóc gia đình,G100885874,Gatsby Khăn ướt BODY ICE CITRUS 30 tờ,Gói,102000,Gatsby
Chăm sóc gia đình,G100908621i,Gatsby Gel Tối Ưu Đen 170G,Tuyp,39000,Gatsby
Chăm sóc gia đình,G100922273,Gatsby Pomade Classy Dry Xám 75G,Hộp,71000,Gatsby
Chăm sóc gia đình,G100922274i,Gatsby Pomade Perfect Raise Đen 75G,Hộp,71000,Gatsby
Chăm sóc gia đình,G100922275,Gatsby Pomade Retro Xám 75G,Hộp,71000,Gatsby
Chăm sóc gia đình,G100938396,Gatsby Gel Cứng Xanh 170G,Tuýp,39000,Gatsby
Chăm sóc gia đình,G100938397,Gatsby Gel Siêu cứng Vàng 170G,Tuyp,39000,Gatsby
Chăm sóc gia đình,G101006032,Gatsby Wax H&F Xanh 75G,Hũ,62000,Gatsby
Chăm sóc gia đình,G101006033,Gatsby Wax M&H Đen 75G,Hũ,62000,Gatsby
Chăm sóc gia đình,G101006034,Gatsby Wax P&S Đỏ 75G,Hũ,62000,Gatsby
Chăm sóc gia đình,G101006035,Gatsby Wax 25g,Hũ,31000,Gatsby
Chăm sóc gia đình,G101006037,Gatsby Keo xịt Siêu Cứng 250ML,Chai,92000,Gatsby
Chăm sóc gia đình,G101109117,Gatsby SRM Strong Clear Foam 130g,Tuýp,63000,Gatsby
Chăm sóc gia đình,G101109119,Gatsby SRM Perfect Scrub 130g,Tuýp,63000,Gatsby
Chăm sóc gia đình,I100925797,St.Ives sữa tắm Yến mạch & Bơ 473ML,Chai,131000,Gatsby
Chăm sóc gia đình,I100925798,St.Ives sữa tắm Hương mơ 473ML,Chai,131000,Gatsby
Chăm sóc gia đình,I100925799,St.Ives sữa tắm Muối Biển 473ML,Chai,131000,Gatsby
Chăm sóc gia đình,I100925800,St.Ives sữa tắm Cam Chanh 473ML,Chai,131000,Gatsby
Chăm sóc gia đình,I100925802,St.Ives sữa tắm Yến mạch&Bơ 650ML,Chai,160000,Gatsby
Chăm sóc gia đình,I100925803,St.Ives sữa tắm Muối biển 650ml,Chai,160000,Gatsby
Chăm sóc gia đình,I100925804,St.Ives sữa tắm Cam Chanh 650ml,Chai,160000,Gatsby
Chăm sóc gia đình,I100925805,St.Ives sữa tắm Hoa hồng&Lô Hội 650ml,Chai,160000,Gatsby
Chăm sóc gia đình,I100925808,St.Ives sữa dưỡng thể Vitamin E và Bơ 621ML,Chai,160000,Gatsby
Chăm sóc gia đình,I100925809,St.Ives sữa dưỡng thể Lúa Mạch và Bơ 621ml,Chai,160000,Gatsby
Chăm sóc gia đình,I100925810,St.Ives sữa dưỡng thể Trẻ hóa Collagen 621ml,Chai,160000,Gatsby
Chăm sóc gia đình,I100996278,St.Ives sữa sữa mặt Trà xanh 170G,Tuýp,113000,Gatsby
Chăm sóc gia đình,I100996279,St.Ives sữa sữa mặt Chiết xuất mơ 170g,Tuýp,113000,Gatsby
Chăm sóc gia đình,I100996411,St.Ives sữa sữa mặt Hương mơ 170g,Tuýp,113000,Gatsby
Chăm sóc gia đình,I100996413,St.Ives sữa sữa mặt Café 170G,Tuýp,113000,Gatsby
Chăm sóc gia đình,I101059009,St.Ives sữa sữa mặt Bơ&Mật Ong 170G,Tuýp,113000,Gatsby
Chăm sóc gia đình,I101078938,St.Ives Gel RM Blemish Care Tram Tra 200ML,Chai,167000,Gatsby
Chăm sóc gia đình,I101117363,St.Ives sữa sữa mặt Hoa Hồng&Lô Hội 170G,Tuýp,113000,Gatsby
Chăm sóc gia đình,I101123825,St.Ives Dưỡng Da 30ml,Tuýp,87000,Gatsby
Chăm sóc gia đình,J100792482,JUMBO Chất xông muỗi,Cái,31000,Jumbo
Chăm sóc gia đình,J100792483,JUMBO Bộ xông đuổi muỗi,Bộ,56000,Jumbo
Chăm sóc gia đình,J100792484,Jumbo Chất xông đôi,Bộ,55000,Jumbo
Chăm sóc cá nhân,J101015517,Kaori Xịt Phòng Cam 280ml,Chai,41000,Kaori
Chăm sóc cá nhân,J101015518,Kaori Xịt Phòng Hoa Hồng 280ml,Chai,41000,Kaori
Chăm sóc cá nhân,J101015519,Kaori Xịt Phòng Hương Biển 280ml,Chai,41000,Kaori
Chăm sóc gia đình,J101015615,Nhang M22 Lavender,Hộp,9000,Kaori
Thực phẩm và Bánh Trái,K100743266,Milo Chocobar 30g,Thanh,12000,Nestle
Thực phẩm và Bánh Trái,K100753907,Kitkat Trà Xanh 8 thanh 2F 17gx8,Gói,76000,Nestle
Thực phẩm và Bánh Trái,K100753908,KitKat Thanh 2F Trà xanh 17g,Thanh,11000,Nestle
Thực phẩm và Bánh Trái,K100793955,KitKat 6 thanh 2F B/F (6X17G) Cocoa,Gói,39000,Nestle
Thực phẩm và Bánh Trái,K100793956,KitKat Thanh 4F B/F 35G Cocoa,Thanh,15000,Nestle
Thực phẩm và Bánh Trái,K100793959,Kitkat Gói 12 thanh 2F 12X17g Cocoa,Gói,75000,Nestle
Thực phẩm và Bánh Trái,K100793960,KitKat Cocoa Bites 40g,Thanh,23000,Nestle
Thực phẩm và Bánh Trái,K100793966,KitKat Thanh 4F Trà xanh 35G,Thanh,20000,Nestle
Thực phẩm và Bánh Trái,K100793993,Kitkat Chunky 38g-Cocoa,Thanh,17000,Nestle
Thực phẩm và Bánh Trái,K100793994,KitKat Gói 3 thanh Chunky 3x38G,Gói,48000,Nestle
Thực phẩm và Bánh Trái,K100864457,KitKat Thanh Chunky Bánh Quy 38g,Thanh,18000,Nestle
Thực phẩm và Bánh Trái,K100998855,KitKat Thanh 2F BF 17g Cocoa,Thanh,7000,Nestle
Thực phẩm và Bánh Trái,K100998856,Milo Viên Nuggets 25g,Gói,15000,Nestle
Thực phẩm và Bánh Trái,K101060029,Kitkat Chunky Pack 3_114g_,Hộp,52000,Nestle
Thực phẩm và Bánh Trái,K101084637,Kitkat Pack 6 thanh_102g ,Hộp,40000,Nestle
Thực phẩm và Bánh Trái,K101084638,KitKat goi SB 12 204g ,Hộp,82000,Nestle
Thực phẩm và Bánh Trái,K101084639,Kitkat Tra xanh SB 8_136g_,Gói,82000,Nestle
Thực phẩm và Bánh Trái,K101084662,Kitkat JP Dâu 11 thanh_,Hộp,95000,Nestle
Thực phẩm và Bánh Trái,K101084663,Nestle Bánh quy Socola 4x31g,Hộp,25000,Nestle
Thực phẩm và Bánh Trái,K101084664,Nestle Bánh quy 372g_,Hộp,92000,Nestle
Thực phẩm và Bánh Trái,K101185188,Kitkat Gold SB_136g_,Gói,84000,Nestle
Chăm sóc cá nhân,L100857684,Lactacyd Milky TG Trẻ em 500ML,Chai,162000,Lactacyd
Chăm sóc cá nhân,L100864736,Lactacyd Odor Fresh 150ML,Hộp,49000,Lactacyd
Chăm sóc cá nhân,L100942174,Lactacyd DDVS Soft&Silky 150ML,Chai,56000,Lactacyd
Chăm sóc cá nhân,L100942175,Lactacyd DDVS Soft&Silky 250ml,Chai,83000,Lactacyd
Chăm sóc cá nhân,L101001848i,Lactacyd Milky Trẻ em 250ml,Chai,95000,Lactacyd
Chăm sóc cá nhân,L101044511,Lactacyd ST Trẻ Em BB 250ml,Chai,95000,Lactacyd
Chăm sóc cá nhân,L101081958,Lactacyd BB 500ml 150ml,Bộ,180000,Lactacyd
Chăm sóc cá nhân,L101081959,Lactacyd Milky 500ml 150ml,Bộ,180000,Lactacyd
Chăm sóc cá nhân,L101099107,Lactacyd DDVS Odor Fresh 250ml,Chai,72000,Lactacyd
Chăm sóc cá nhân,L101099110,Lactacyd DDVS Pro Sensitive 150ml,Chai,56000,Lactacyd
Chăm sóc cá nhân,L101099111,Lactacyd DDVS Pro Sensitive 250ml,Chai,83000,Lactacyd
Chăm sóc cá nhân,L101113917,Lactacyd Pearly Intimate 150ML,Chai,63000,Lactacyd
Chăm sóc cá nhân,L101159847,Lactacyd BB 500ML,Chai,162000,Lactacyd
Khu vực thú cưng,M100745900,Thức ăn Chó con-Vị Bò Trứng sốt 80g,Gói,51000,Mars
Khu vực thú cưng,M100746012,Thức ăn Chó-Vị thit Bò & Rau củ 1.5 kg,Gói,118000,Mars
Khu vực thú cưng,M100746014,Thức ăn Mèo -Cá biển 20kg,Bao,1680000,Mars
Khu vực thú cưng,M100746015,Thức ăn Chó-Vị Gà & Rau củ 1.5 kg,Gói,118000,Mars
Khu vực thú cưng,M100746025,Thức ăn Chó con-Vị Gà Sốt 130g,Gói,18000,Mars
Khu vực thú cưng,M100746026,Thức ăn Chó-Vị Gà Sốt 130g,Gói,18000,Mars
Khu vực thú cưng,M100746027,Thức ăn Mèo Con- Vị Cá biển &Sữa 1.1kg,Túi,129000,Mars
Khu vực thú cưng,M100746028i,Thức ăn Mèo -Vị cá thu 1.2 kg,Túi,129000,Mars
Khu vực thú cưng,M100746029,Thức ăn Mèo -Vị Cá biển  480g,Gói,60000,Mars
Khu vực thú cưng,M100746030,Thức ăn Mèo -Vị Cá biển 7kg,Bao,701000,Mars
Khu vực thú cưng,M100746031,Thức ăn Mèo Vị cá Ngừ  1.2 kg,Gói,129000,Mars
Khu vực thú cưng,M100746032,Thức ăn Mèo Vị Cá biển  1.2 kg,Gói,129000,Mars
Khu vực thú cưng,M100746033,Thức ăn Mèo -Vị cá Ngừ  480g,Gói,60000,Mars
Khu vực thú cưng,M100746034,Thức Ăn Mèo Vị cá BIS gói 400g,Gói,39000,Mars
Khu vực thú cưng,M100746035,Thức ăn mèo Vị cá biển 400g,Lon,43000,Mars
Khu vực thú cưng,M100746114,Cátsan - Cát vệ sinh Chó mèo,Túi,114000,Mars
Khu vực thú cưng,M100746115,Cátsan - Cát vệ sinh Chó mèo 9L,Túi,205000,Mars
Khu vực thú cưng,M100750182,Thức ăn Chó Vị Bò &rau cu  500g,Gói,44000,Mars
Khu vực thú cưng,M100808286,Thức ăn Mèo Con- Vị Cá biển &Sữa 450g,Túi,62000,Mars
Khu vực thú cưng,M100839923,Thức ăn Mèo -Vị Cá biển  3kg,Gói,320000,Mars
Khu vực thú cưng,M100864325,Thức ăn Mèo -Vị cá thu BIS gói 400g,Gói,39000,Mars
Khu vực thú cưng,M100886065,Thức ăn vat Chó - Bò xong khoi 80g,Gói,38000,Mars
Khu vực thú cưng,M100886066,Thức ăn vat Chó - Gà n nướng 80g,Gói,38000,Mars
Khu vực thú cưng,M100886067,Thức ăn vat Chó - Bò xong khoi que 60g,Gói,38000,Mars
Khu vực thú cưng,M100886068,Thức ăn vat Chó heo muoi que 60g,Gói,38000,Mars
Khu vực thú cưng,M100886069,Bánh xương Chó trung 98g,Gói,40000,Mars
Khu vực thú cưng,M100886124,Bánh xương Chó nho 56g (new),Gói,38000,Mars
Khu vực thú cưng,M100886125,Bánh xương Chó con 75g (new),Gói,38000,Mars
Khu vực thú cưng,M100886126,Sốt Temptation cá Ngừ 85g,Gói,55000,Mars
Khu vực thú cưng,M100886226,Sốt Temptation 48g,Gói,38000,Mars
Khu vực thú cưng,M100899226,Bánh xương cham soc rang Chó kieng 60g,Gói,38000,Mars
Khu vực thú cưng,M100899230,Thức ăn Chó gion 60g,Gói,40000,Mars
Khu vực thú cưng,M100944496,Sốt Chó Lon Bò ham Rau Cu 130G,Gói,18000,Mars
Khu vực thú cưng,M100944497,Sốt Chó lon - Vị Gà nướng & rau 130g,Gói,18000,Mars
Khu vực thú cưng,M100944498,Sốt Chó con - Vị Gà trứng & rau 80g,Gói,13000,Mars
Khu vực thú cưng,M100944499,"Sốt Chó lon - Vị Gà , Gà n nướng & rau 80g",Gói,13000,Mars
Khu vực thú cưng,M100944840,Sốt Chó lon - Vị Bò nướng & rau 80g,Gói,13000,Mars
Khu vực thú cưng,M100954694,Thức ăn Mèo -Vị thu&cá hoi  85g,Gói,13000,Mars
Khu vực thú cưng,M100955623,Thức ăn Mèo -Vị cá Ngừ dang  85g,Gói,13000,Mars
Khu vực thú cưng,M100955624,Thức ăn Mèo -Vị thu  85g,Gói,13000,Mars
Khu vực thú cưng,M100955625,Thức ăn Mèo -Vị Cá biển dang  85g,Gói,13000,Mars
Khu vực thú cưng,M100955627,Thức ăn Mèo con-Vị cá Ngừ  85g,Gói,13000,Mars
Khu vực thú cưng,M101073468,Thức ăn Chó con-Vị Gà & trung&Sữa 400g,Gói,51000,Mars
Khu vực thú cưng,M101080792,Thức ăn Mèo con-Vị cá thu  85g,Gói,13000,Mars
Khu vực thú cưng,M101101178,Thức ăn mèo Vị cá ngừ lon 400g,Lon,43000,Mars
Khu vực thú cưng,M101144900,Thức ăn Mèo Con- cá thu 450g,Túi,62000,Mars
Khu vực thú cưng,M101144901,Thức ăn Mèo Con- cá thu 1.1kg,Túi,129000,Mars
Khu vực thú cưng,M101144903,Thức ăn mèo Vị Gà&cá ngừ 85g,Gói,13000,Mars
Khu vực thú cưng,M101886066,Thức ăn vat Chó - Gà xong khoi 80g,Gói,38000,Mars
Chăm sóc cá nhân,P100760121,Pucelle nước hoa Jolly Tím 75ml,Chai,28000,Uniliver
Chăm sóc cá nhân,P100760122,Pucelle nước hoa Spacking Hồng 75ML,Chai,28000,Uniliver
Chăm sóc cá nhân,P100760124,Pucelle nước hoa WO Xanước hoa dương 75ml,Chai,28000,Uniliver
Chăm sóc cá nhân,P100760127,Pucelle nước hoa Thu Ran 100ml,Chai,41000,Uniliver
Chăm sóc cá nhân,P100760128,Pucelle nước hoa Xuân Sakura 100ml,Chai,41000,Uniliver
Chăm sóc cá nhân,P100760129,Pucelle nước hoa 150ml,Chai,48000,Uniliver
Chăm sóc cá nhân,P100760131,Lovillea nước hoa 100ML,Chai,26000,Uniliver
Chăm sóc cá nhân,P100760135,Pucelle Blooming Blossom 75ml,Chai,28000,Uniliver
Chăm sóc cá nhân,P100945508,Pucelle nước hoa Perfect Getaway Cam 75ml,Chai,28000,Uniliver
Chăm sóc cá nhân,S100849031,bio-essence Nước Tẩy Trang Micellar Water 200ML,Chai,167000,BIOESSENCE
Chăm sóc cá nhân,U100810932,Xà bông cục CAMAY Classic Hồng 125G,Cục,14000,Uniliver
Chăm sóc cá nhân,U100810933,Xà bông cục CAMAY Chic Đen 125G,Cục,14000,Uniliver
Chăm sóc cá nhân,U100810934,Xà bông cục CAMAY Naturel Trắng 125G,Cục,14000,Uniliver
Chăm sóc cá nhân,U100931314,Monsavon sữa tắm Sữa&Vani 1L,Chai,177000,Uniliver
Chăm sóc cá nhân,U101097698,Xà bông cục Lux Xanh Aqua 80G ,Cục,10000,Uniliver
Chăm sóc cá nhân,U101097699,Xà bông cục Lux Hồng Soft 80G ,Cục,10000,Uniliver
Chăm sóc cá nhân,U101097750,Xà bông cục Lux Tím Magical 80G ,Cục,10000,Uniliver
Chăm sóc cá nhân,U101097751,Xà bông cục Lux Trang Velvet 80G ,Cục,10000,Uniliver
Chăm sóc cá nhân,U101117234,GEL TAM H. HOA HONG CAMAY PARIS 500ML,Chai,102000,Uniliver
Chăm sóc cá nhân,U101117235,GEL TAM H. OAI HUONG CAMAY PARIS 500ML,Chai,102000,Uniliver
Chăm sóc cá nhân,U101117236,GEL TAM CAMAY 500ML+Xà bông cục,Chai,89000,Uniliver
Chăm sóc cá nhân,U101117237,Dầu gội Lux 450g,Chai,156000,Uniliver
Chăm sóc cá nhân,V100873909,Vaseline Dưỡng Môi Hồng xinh 7G,Hũ,73000,Uniliver
Chăm sóc cá nhân,V100873910,Vaseline Dưỡng Môi Mềm mịn 7G,Hũ,73000,Uniliver
Chăm sóc cá nhân,V100873911,Vaseline Dưỡng Môi Ngọt ngào 7G,Hũ,73000,Uniliver
Chăm sóc cá nhân,V100891414,Vaseline Sáp dưỡng ẩm 50ml,Hũ,50000,Uniliver
Chăm sóc cá nhân,V100891415,Vaseline Sap Duong Am 100ml,Hũ,83000,Uniliver
Chăm sóc cá nhân,V100932526,Vaseline Dưỡng Môi Mềm Mịn 4.8g,Cây,57000,Uniliver
Chăm sóc cá nhân,V100932527,Vaseline Dưỡng môi hồng xinh 4.8g,Cây,57000,Uniliver
Chăm sóc cá nhân,V100932528,Vaseline Dưỡng môi Lô hội 4.8g,Cây,57000,Uniliver
Chăm sóc cá nhân,V100932529,Vaseline Dưỡng môi Cacao 4.8g,Cây,57000,Uniliver
Chăm sóc cá nhân,Y101072549,Cốt gà BRAND'S 42ml 6x12x72,Lốc 6,162000,Nestle
Tiện ích và sức khỏe,Y101072563,Nước yến BRAND'S có đường 42ml 6x8x48,Lốc 6,493000,Nestle
Tiện ích và sức khỏe,Y101072565,Nước yến BRAND'S có đường 70ml 6x8x48,Lốc 6,750000,Nestle
Tiện ích và sức khỏe,Y101072567,Nước yến BRAND'S k đường 42ml,Lốc 6,493000,Nestle
Tiện ích và sức khỏe,Y101072569,Nước yến BRAND'S k đường 70ml,Lốc 6,750000,Nestle
Tiện ích và sức khỏe,Y101106269,Bộ 2 Nước cốt gà BRAND'S 42mlx6,Bộ,178000,Nestle
Tiện ích và sức khỏe,Y101106340,Bộ 2 nước cốt gà BRAND'S 70mlx6,Bộ,271000,Nestle
Tiện ích và sức khỏe,Y101106342,Nuoc cot ga Brand's Choco 70ml,Lốc 6,238000,Nestle
Chăm sóc gia đình,Z100363564,Zonrox Tẩy Xanh lá-Chanh 1L,Chai,17000,Green Cross
Chăm sóc gia đình,Z100363565,Zonrox Tẩy Hồng-Hoa cỏ 1L,Chai,17000,Green Cross
Chăm sóc gia đình,Z100363566,Zonrox Tẩy Xanh Dương-Thiên nhiên 1L,Chai,17000,Green Cross
Thực phẩm và Bánh Trái,N15001,Nước Satori chai 1.5l (12c/thùng),Thùng,123000,SATORI
Thực phẩm và Bánh Trái,N3501,Nước  Satori chai 350ml (24c/thùng),Thùng,110000,SATORI
Thực phẩm và Bánh Trái,N5001,Nước Satori chai 500ml (24c/thùng),Thùng,123000,SATORI